id,lat,lon,val,far_edge,near_edge
162,47.180278,-1.570833,10296546511,12,0
163,47.210556,-1.448889,12692826855,39,0
164,47.224722,-1.598611,11676948116,21,1
165,47.156389,-1.557500,8100922213,32,0
166,47.206389,-1.574167,15214048023,38,1
167,47.253611,-1.528333,7139210046,16,3
168,47.386389,-1.563889,37778416,13,3
169,47.213889,-1.553333,10798435703,1,1
170,47.319444,-1.555833,18584127159,20,3
171,47.204722,-1.563056,22441680473,26,1
172,47.211667,-1.485278,19583511588,18,0
173,47.271944,-1.591111,8380509331,34,3
174,47.256944,-1.646111,8703545103,23,2
175,47.257778,-1.626111,8142688872,23,2
176,47.235278,-1.515000,9156336946,33,3
177,47.208611,-1.503056,17975739303,6,0
178,47.220833,-1.626111,11483251407,7,2
179,47.257222,-1.577778,8139950481,34,1
180,47.198333,-1.518889,26478441291,6,0
181,47.203056,-1.635000,13851507217,36,2
182,47.210556,-1.595833,6890371628,0,1
183,47.213889,-1.579167,18782812235,0,1
184,47.203889,-1.582778,3563079853,38,1
185,47.144167,-1.591111,2649302232,22,0
186,47.194167,-1.572222,18442930134,26,1
187,47.200278,-1.583889,4624654838,38,1
188,47.186944,-1.435833,5698735085,27,0
189,47.176389,-1.539167,13810409594,15,0
190,47.226111,-1.571667,13455770322,8,1
191,47.184167,-1.544167,13672041735,15,0
192,47.114167,-1.492500,13450178026,4,0
193,47.232778,-1.542222,15692404403,20,3
194,47.345833,-1.438056,9771280696,25,3
195,47.262500,-1.554167,15290251821,37,3
196,47.286389,-1.483056,4344124674,17,3
197,47.166389,-1.543333,13753383963,15,0
198,47.214444,-1.562500,7221404954,1,1
199,47.224444,-1.549167,8924508482,14,1
200,47.148056,-1.524444,8143280990,4,0
201,47.264167,-1.671944,9297783496,31,2
202,47.235833,-1.650556,6709926529,31,2
203,47.221389,-1.547222,17849779691,14,1
204,47.220278,-1.588611,15872487528,35,1
205,47.197500,-1.456944,7662857792,18,0
206,47.240278,-1.533056,14524410691,16,3
207,47.228611,-1.565833,15083723942,8,1
208,47.223889,-1.529444,12170558606,33,0
209,47.268611,-1.565556,14041934821,37,3
